&{2 0 0xc0000042b8} , 5 , 7 , illegal queen move
&{2 0 0xc0000042b8} , 6 , 0 , queen blocked
&{2 0 0xc0000042b8} , 6 , 1 , illegal queen move
&{2 0 0xc0000042b8} , 6 , 2 , illegal queen move
&{2 0 0xc0000042b8} , 6 , 3 , test
&{2 0 0xc0000042b8} , 6 , 4 , illegal queen move
&{2 0 0xc0000042b8} , 6 , 5 , illegal queen move
&{2 0 0xc0000042b8} , 6 , 6 , illegal queen move
&{2 0 0xc0000042b8} , 6 , 7 , illegal queen move
&{2 0 0xc0000042b8} , 7 , 0 , queen blocked
&{2 0 0xc0000042b8} , 7 , 1 , illegal queen move
&{2 0 0xc0000042b8} , 7 , 2 , illegal queen move
&{2 0 0xc0000042b8} , 7 , 3 , illegal queen move
&{2 0 0xc0000042b8} , 7 , 4 , test
&{2 0 0xc0000042b8} , 7 , 5 , illegal queen move
&{2 0 0xc0000042b8} , 7 , 6 , illegal queen move
&{2 0 0xc0000042b8} , 7 , 7 , illegal queen move
&{3 0 0xc000004078} , 0 , 1 , square occupied by an ally piece
&{3 0 0xc000004078} , 0 , 2 , rook blocked
&{3 0 0xc000004078} , 0 , 3 , rook blocked
&{3 0 0xc000004078} , 0 , 4 , rook blocked
&{3 0 0xc000004078} , 0 , 5 , rook blocked
&{3 0 0xc000004078} , 0 , 6 , rook blocked
&{3 0 0xc000004078} , 0 , 7 , rook blocked
&{3 0 0xc000004078} , 1 , 0 , test
&{3 0 0xc000004078} , 1 , 1 , illegal rook move
&{3 0 0xc000004078} , 1 , 2 , illegal rook move
&{3 0 0xc000004078} , 1 , 3 , illegal rook move
&{3 0 0xc000004078} , 1 , 4 , illegal rook move
&{3 0 0xc000004078} , 1 , 5 , illegal rook move
&{3 0 0xc000004078} , 1 , 6 , illegal rook move
&{3 0 0xc000004078} , 1 , 7 , illegal rook move
&{3 0 0xc000004078} , 2 , 0 , square occupied by an ally piece
&{3 0 0xc000004078} , 2 , 1 , illegal rook move
&{3 0 0xc000004078} , 2 , 2 , illegal rook move
&{3 0 0xc000004078} , 2 , 3 , illegal rook move
&{3 0 0xc000004078} , 2 , 4 , illegal rook move
&{3 0 0xc000004078} , 2 , 5 , illegal rook move
&{3 0 0xc000004078} , 2 , 6 , illegal rook move
&{3 0 0xc000004078} , 2 , 7 , illegal rook move
&{3 0 0xc000004078} , 3 , 0 , rook blocked
&{3 0 0xc000004078} , 3 , 1 , illegal rook move
&{3 0 0xc000004078} , 3 , 2 , illegal rook move
&{3 0 0xc000004078} , 3 , 3 , illegal rook move
&{3 0 0xc000004078} , 3 , 4 , illegal rook move
&{3 0 0xc000004078} , 3 , 5 , illegal rook move
&{3 0 0xc000004078} , 3 , 6 , illegal rook move
&{3 0 0xc000004078} , 3 , 7 , illegal rook move
&{3 0 0xc000004078} , 4 , 0 , rook blocked
&{3 0 0xc000004078} , 4 , 1 , illegal rook move
&{3 0 0xc000004078} , 4 , 2 , illegal rook move
&{3 0 0xc000004078} , 4 , 3 , illegal rook move
&{3 0 0xc000004078} , 4 , 4 , illegal rook move
&{3 0 0xc000004078} , 4 , 5 , illegal rook move
&{3 0 0xc000004078} , 4 , 6 , illegal rook move
&{3 0 0xc000004078} , 4 , 7 , illegal rook move
&{3 0 0xc000004078} , 5 , 0 , rook blocked
&{3 0 0xc000004078} , 5 , 1 , illegal rook move
&{3 0 0xc000004078} , 5 , 2 , illegal rook move
&{3 0 0xc000004078} , 5 , 3 , illegal rook move
&{3 0 0xc000004078} , 5 , 4 , illegal rook move
&{3 0 0xc000004078} , 5 , 5 , illegal rook move
&{3 0 0xc000004078} , 5 , 6 , illegal rook move
&{3 0 0xc000004078} , 5 , 7 , illegal rook move
&{3 0 0xc000004078} , 6 , 0 , rook blocked
&{3 0 0xc000004078} , 6 , 1 , illegal rook move
&{3 0 0xc000004078} , 6 , 2 , illegal rook move
&{3 0 0xc000004078} , 6 , 3 , illegal rook move
&{3 0 0xc000004078} , 6 , 4 , illegal rook move
&{3 0 0xc000004078} , 6 , 5 , illegal rook move
&{3 0 0xc000004078} , 6 , 6 , illegal rook move
&{3 0 0xc000004078} , 6 , 7 , illegal rook move
&{3 0 0xc000004078} , 7 , 0 , rook blocked
&{3 0 0xc000004078} , 7 , 1 , illegal rook move
&{3 0 0xc000004078} , 7 , 2 , illegal rook move
&{3 0 0xc000004078} , 7 , 3 , illegal rook move
&{3 0 0xc000004078} , 7 , 4 , illegal rook move
&{3 0 0xc000004078} , 7 , 5 , illegal rook move
&{3 0 0xc000004078} , 7 , 6 , illegal rook move
&{3 0 0xc000004078} , 7 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 0 , 0 , rook blocked
&{3 0 0xc0000045b8} , 0 , 1 , illegal rook move
&{3 0 0xc0000045b8} , 0 , 2 , illegal rook move
&{3 0 0xc0000045b8} , 0 , 3 , illegal rook move
&{3 0 0xc0000045b8} , 0 , 4 , illegal rook move
&{3 0 0xc0000045b8} , 0 , 5 , illegal rook move
&{3 0 0xc0000045b8} , 0 , 6 , illegal rook move
&{3 0 0xc0000045b8} , 0 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 1 , 0 , rook blocked
&{3 0 0xc0000045b8} , 1 , 1 , illegal rook move
&{3 0 0xc0000045b8} , 1 , 2 , illegal rook move
&{3 0 0xc0000045b8} , 1 , 3 , illegal rook move
&{3 0 0xc0000045b8} , 1 , 4 , illegal rook move
&{3 0 0xc0000045b8} , 1 , 5 , illegal rook move
&{3 0 0xc0000045b8} , 1 , 6 , illegal rook move
&{3 0 0xc0000045b8} , 1 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 2 , 0 , rook blocked
&{3 0 0xc0000045b8} , 2 , 1 , illegal rook move
&{3 0 0xc0000045b8} , 2 , 2 , illegal rook move
&{3 0 0xc0000045b8} , 2 , 3 , illegal rook move
&{3 0 0xc0000045b8} , 2 , 4 , illegal rook move
&{3 0 0xc0000045b8} , 2 , 5 , illegal rook move
&{3 0 0xc0000045b8} , 2 , 6 , illegal rook move
&{3 0 0xc0000045b8} , 2 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 3 , 0 , rook blocked
&{3 0 0xc0000045b8} , 3 , 1 , illegal rook move
&{3 0 0xc0000045b8} , 3 , 2 , illegal rook move
&{3 0 0xc0000045b8} , 3 , 3 , illegal rook move
&{3 0 0xc0000045b8} , 3 , 4 , illegal rook move
&{3 0 0xc0000045b8} , 3 , 5 , illegal rook move
&{3 0 0xc0000045b8} , 3 , 6 , illegal rook move
&{3 0 0xc0000045b8} , 3 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 4 , 0 , rook blocked
&{3 0 0xc0000045b8} , 4 , 1 , illegal rook move
&{3 0 0xc0000045b8} , 4 , 2 , illegal rook move
&{3 0 0xc0000045b8} , 4 , 3 , illegal rook move
&{3 0 0xc0000045b8} , 4 , 4 , illegal rook move
&{3 0 0xc0000045b8} , 4 , 5 , illegal rook move
&{3 0 0xc0000045b8} , 4 , 6 , illegal rook move
&{3 0 0xc0000045b8} , 4 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 5 , 0 , rook blocked
&{3 0 0xc0000045b8} , 5 , 1 , illegal rook move
&{3 0 0xc0000045b8} , 5 , 2 , illegal rook move
&{3 0 0xc0000045b8} , 5 , 3 , illegal rook move
&{3 0 0xc0000045b8} , 5 , 4 , illegal rook move
&{3 0 0xc0000045b8} , 5 , 5 , illegal rook move
&{3 0 0xc0000045b8} , 5 , 6 , illegal rook move
&{3 0 0xc0000045b8} , 5 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 6 , 0 , square occupied by an ally piece
&{3 0 0xc0000045b8} , 6 , 1 , illegal rook move
&{3 0 0xc0000045b8} , 6 , 2 , illegal rook move
&{3 0 0xc0000045b8} , 6 , 3 , illegal rook move
&{3 0 0xc0000045b8} , 6 , 4 , illegal rook move
&{3 0 0xc0000045b8} , 6 , 5 , illegal rook move
&{3 0 0xc0000045b8} , 6 , 6 , illegal rook move
&{3 0 0xc0000045b8} , 6 , 7 , illegal rook move
&{3 0 0xc0000045b8} , 7 , 1 , test
&{3 0 0xc0000045b8} , 7 , 2 , square occupied by an ally piece
&{3 0 0xc0000045b8} , 7 , 3 , rook blocked
&{3 0 0xc0000045b8} , 7 , 4 , rook blocked
&{3 0 0xc0000045b8} , 7 , 5 , rook blocked
&{3 0 0xc0000045b8} , 7 , 6 , rook blocked
&{3 0 0xc0000045b8} , 7 , 7 , rook blocked
&{4 0 0xc000004228} , 0 , 0 , illegal knight move
&{4 0 0xc000004228} , 0 , 1 , square occupied by an ally piece
&{4 0 0xc000004228} , 0 , 2 , illegal knight move
&{4 0 0xc000004228} , 0 , 3 , test
&{4 0 0xc000004228} , 0 , 4 , illegal knight move
&{4 0 0xc000004228} , 0 , 5 , illegal knight move
&{4 0 0xc000004228} , 0 , 6 , illegal knight move
&{4 0 0xc000004228} , 0 , 7 , illegal knight move
&{4 0 0xc000004228} , 1 , 0 , test
&{4 0 0xc000004228} , 1 , 1 , illegal knight move
&{4 0 0xc000004228} , 1 , 2 , illegal knight move
&{4 0 0xc000004228} , 1 , 3 , illegal knight move
&{4 0 0xc000004228} , 1 , 4 , test
&{4 0 0xc000004228} , 1 , 5 , illegal knight move
&{4 0 0xc000004228} , 1 , 6 , illegal knight move
&{4 0 0xc000004228} , 1 , 7 , illegal knight move
&{4 0 0xc000004228} , 2 , 0 , illegal knight move
&{4 0 0xc000004228} , 2 , 1 , illegal knight move
&{4 0 0xc000004228} , 2 , 3 , illegal knight move
&{4 0 0xc000004228} , 2 , 4 , illegal knight move
&{4 0 0xc000004228} , 2 , 5 , illegal knight move
&{4 0 0xc000004228} , 2 , 6 , illegal knight move
&{4 0 0xc000004228} , 2 , 7 , illegal knight move
&{4 0 0xc000004228} , 3 , 0 , square occupied by an ally piece
&{4 0 0xc000004228} , 3 , 1 , illegal knight move
